Codigodo fundo,Setor,Preco Atual,Liquidez Diaria,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Media,DY (6M)Media,DY (12M)Media,DY Ano,Variacao Preco,Rentab.Periodo,Rentab.Acumulada,PatrimonioLiq.,VPA,P/VPA,DYPatrimonial,VariacaoPatrimonial,Rentab. Patr.no Periodo,Rentab. Patr.Acumulada,VacanciaFisica,VacanciaFinanceira,QuantidadeAtivos
FIVN11,Shoppings,"R$ 3,15",4745.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 64.863.959,96","R$ 6,89","0,46",N/A,N/A,N/A,N/A,"56,00%",N/A,1
BZLI11,Titulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 438.444.330,80","R$ 11,54","1,27",N/A,N/A,N/A,N/A,N/A,N/A,0
XTED11,Lajes Corporativas,"R$ 6,87",1725.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 25.443.127,93","R$ 14,19","0,48",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
ALMI11,Lajes Corporativas,"R$ 1.100,00",95.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 229.388.402,53","R$ 2.063,27","0,53",N/A,N/A,N/A,N/A,"68,15%",N/A,1
DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 263.546.411,18","R$ 107,84","4,07",N/A,N/A,N/A,N/A,"23,44%",N/A,1
PABY11,Hibrido,"R$ 12,00",157.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -5.351.458,84","R$ -7,06","-1,70",N/A,N/A,N/A,N/A,N/A,N/A,1
ORPD11,Titulos e Val. Mob.,"R$ 129,99",3.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 42.360.867,34","R$ 146,07","0,89",N/A,N/A,N/A,N/A,N/A,N/A,0
RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 0,00","R$ 0,00",Inf,N/A,N/A,N/A,N/A,N/A,N/A,0
ATSA11,Shoppings,"R$ 109,97",90.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 173.151.386,14","R$ 98,88","1,11",N/A,N/A,N/A,N/A,"20,90%",N/A,1
XPHT11,Hotel,"R$ 85,56",345.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 331.034.343,27","R$ 87,01","0,98",N/A,N/A,N/A,N/A,"78,30%",N/A,5
HTMX11,Hotel,"R$ 105,78",1775.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 164.514.258,92","R$ 130,88","0,81",N/A,N/A,N/A,N/A,"72,00%",N/A,23
GSFI11,Shoppings,"R$ 4,10",4081.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 953.239.815,02","R$ 13,92","0,29",N/A,N/A,N/A,N/A,"9,60%",N/A,10
NEWU11,Lajes Corporativas,"R$ 39,99",72.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 47.427.180,70","R$ 63,92","0,63",N/A,N/A,N/A,N/A,"63,90%",N/A,3
